name,lanetype,the_length
LIGHT ST,BIKE LANE,845.6832527400001
LOCH RAVEN BLVD,BIKE LANE,NA
MADISON AVE,BIKE LANE,2179.32564503
MC CALLUM DR,BIKE LANE,NA
MILLBROOK ROAD,BIKE LANE,NA
MORAVIA PARK DR,BIKE LANE,2985.94015455
N BROADWAY,BIKE LANE,10028.96246186
N CENTRAL AVE,BIKE LANE,876.28048997
N CHARLES,BIKE LANE,NA
N CHARLES ST,BIKE LANE,NA
N HIGHLAND AVE,BIKE LANE,875.97489782
N ROGERS AVE,BIKE LANE,2300.53425418
NORTHWOOD DR,BIKE LANE,NA
NORWOOD ROAD,BIKE LANE,NA
NOTRE DAME LANE,BIKE LANE,NA
O'DONNELL ST CUT OFF,BIKE LANE,673.4910147
PACIFIC ST,BIKE LANE,NA
PARK HEIGHTS AVE,BIKE LANE,NA
PENTWOOD ROAD,BIKE LANE,NA
PIMLICO ROAD,BIKE LANE,146.60176905
POST ROAD,BIKE LANE,NA
POTEE ST,BIKE LANE,2938.6938708800003
PRESIDENT ST,BIKE LANE,2632.4111731900002
RIVERSIDE AVE,BIKE LANE,NA
ROLAND AVE,BIKE LANE,22522.16690699
S BROADWAY,BIKE LANE,NA
S CAROLINE ST,BIKE LANE,2707.89539278
S CENTRAL AVE,BIKE LANE,4042.70098014
S CONKLING ST,BIKE LANE,2222.0702671
S EXETER ST,BIKE LANE,NA
S HANOVER,BIKE LANE,2536.73077513
S HANOVER ST,BIKE LANE,3020.85467695
S HAVEN ST,BIKE LANE,NA
S HIGHLAND AVE,BIKE LANE,1796.80397559
S MONTFORD AVE,BIKE LANE,NA
S PRESIDENT ST,BIKE LANE,1188.14379484
SAINT PAUL ST,BIKE LANE,9230.02774387
SAN MARTIN DR,BIKE LANE,NA
SEQUOIA AVE,BIKE LANE,28.67251115
STUART AVE,BIKE LANE,NA
THE ALAMEDA,BIKE LANE,NA
TRAINOR AVE,BIKE LANE,NA
TRINITY ST,BIKE LANE,NA
VAN LILL ST,BIKE LANE,NA
W 33RD ST,BIKE LANE,383.88960688
W 36TH ST,BIKE LANE,NA
W 39TH ST,BIKE LANE,NA
W BELVEDERE AVE,BIKE LANE,5546.83513139
W COLD SPRING LANE,BIKE LANE,NA
W LANVALE ST,BIKE LANE,NA
W LOMBARD ST,BIKE LANE,NA
W PRATT ST,BIKE LANE,NA
W ROGERS AVE,BIKE LANE,NA
W UNIVERSITY PKWY,BIKE LANE,7867.91333749
WABASH AVE,BIKE LANE,2615.49793727
WALTHER AVE,BIKE LANE,4279.6781339
WARREN AVE,BIKE LANE,NA
WHITMAN DR,BIKE LANE,4340.53441897
WILLIAM ST,BIKE LANE,NA
